108	108
108	109
108	110
109	108
109	109
109	110
111	111
111	112
111	111
111	112
111	113
112	111
112	112
112	113
114	114
114	115
114	116
115	114
115	115
115	116
114	114
114	115
114	116
115	114
115	115
115	116
117	117
117	118
120	120
120	121
123	123
123	124
125	125
125	126
128	128
128	129
130	130
130	39
132	132
132	133
135	135
135	136
135	137
136	135
136	136
136	137
115	115
115	8
1929	1929
1929	1930
9399	9399
9399	9400
9615	9615
9615	9616
9620	9620
9620	9621
9620	9622
9621	9620
9621	9621
9621	9622
9700	9700
9700	9701
9700	9702
9700	9703
9701	9700
9701	9701
9701	9702
9701	9703
9702	9700
9702	9701
9702	9702
9702	9703
9811	9811
9811	9812
9890	9890
9890	9891
9890	9890
9890	9894
955	955
955	9894
9927	9927
9927	9930
1892	1892
1892	9980
1892	1892
1892	9993
9982	9982
9982	10075
9982	5114
10075	9982
10075	10075
10075	5114
10082	10082
10082	10004
10082	10104
10004	10082
10004	10004
10004	10104
10253	10253
10253	10254
10348	10348
10348	10352
10348	10353
10348	10354
10352	10348
10352	10352
10352	10353
10352	10354
10353	10348
10353	10352
10353	10353
10353	10354
10424	10424
10424	10425
10562	10562
10562	10563
10587	10587
10587	958
10587	10588
958	10587
958	958
958	10588
9651	9651
9651	10657
10156	10156
10156	10666
10092	10092
10092	10296
10092	10682
10092	10683
10296	10092
10296	10296
10296	10682
10296	10683
10682	10092
10682	10296
10682	10682
10682	10683
10689	10689
10689	10292
10689	10689
10689	10292
10692	10692
10692	10147
10692	10693
10692	9745
10147	10692
10147	10147
10147	10693
10147	9745
10693	10692
10693	10147
10693	10693
10693	9745
10761	10761
10761	10762
10781	10781
10781	963
9600	9600
9600	10797
9600	10764
10797	9600
10797	10797
10797	10764
10817	10817
10817	9758
10817	10818
9758	10817
9758	9758
9758	10818
10844	10844
10844	10845
10844	10846
10845	10844
10845	10845
10845	10846
10900	10900
10900	3642
10900	10901
3642	10900
3642	3642
3642	10901
10964	10964
10964	1562
11051	11051
11051	11052
11134	11134
11134	11137
11134	10292
11137	11134
11137	11137
11137	10292
11147	11147
11147	11148
11169	11169
11169	4087
11171	11171
11171	9939
11307	11307
11307	5114
11357	11357
11357	4828
11357	11358
11357	11359
11357	11360
4828	11357
4828	4828
4828	11358
4828	11359
4828	11360
11358	11357
11358	4828
11358	11358
11358	11359
11358	11360
11359	11357
11359	4828
11359	11358
11359	11359
11359	11360
11424	11424
11424	11425
11472	11472
11472	11473
11472	11474
11472	11475
11473	11472
11473	11473
11473	11474
11473	11475
11474	11472
11474	11473
11474	11474
11474	11475
11558	11558
11558	11559
10449	10449
10449	11575
11641	11641
11641	11642
11662	11662
11662	11479
11669	11669
11669	11179
10143	10143
10143	11828
9447	9447
9447	11684
9447	5044
11684	9447
11684	11684
11684	5044
11866	11866
11866	10443
11881	11881
11881	11754
11544	11544
11544	11945
11544	11946
11945	11544
11945	11945
11945	11946
11101	11101
11101	10414
10107	10107
10107	11633
10107	12011
10107	12012
10107	12013
10107	12014
10107	12015
10107	12016
11633	10107
11633	11633
11633	12011
11633	12012
11633	12013
11633	12014
11633	12015
11633	12016
12011	10107
12011	11633
12011	12011
12011	12012
12011	12013
12011	12014
12011	12015
12011	12016
12012	10107
12012	11633
12012	12011
12012	12012
12012	12013
12012	12014
12012	12015
12012	12016
12013	10107
12013	11633
12013	12011
12013	12012
12013	12013
12013	12014
12013	12015
12013	12016
12014	10107
12014	11633
12014	12011
12014	12012
12014	12013
12014	12014
12014	12015
12014	12016
12015	10107
12015	11633
12015	12011
12015	12012
12015	12013
12015	12014
12015	12015
12015	12016
2035	2035
2035	9499
12158	12158
12158	10443
12174	12174
12174	10407
10292	10292
10292	12203
10292	11955
10292	11954
12203	10292
12203	12203
12203	11955
12203	11954
11955	10292
11955	12203
11955	11955
11955	11954
12117	12117
12117	12471
12520	12520
12520	10245
10580	10580
10580	12563
9961	9961
9961	11481
9961	12619
9961	12616
11481	9961
11481	11481
11481	12619
11481	12616
12619	9961
12619	11481
12619	12619
12619	12616
12744	12744
12744	12745
12773	12773
12773	9622
12780	12780
12780	10147
12780	12781
12780	12782
10147	12780
10147	10147
10147	12781
10147	12782
12781	12780
12781	10147
12781	12781
12781	12782
12822	12822
12822	12823
12856	12856
12856	12857
12856	12858
12857	12856
12857	12857
12857	12858
12893	12893
12893	12894
10754	10754
10754	12981
12986	12986
12986	11753
12986	11642
11753	12986
11753	11753
11753	11642
13004	13004
13004	11216
13085	13085
13085	13086
13141	13141
13141	13142
13173	13173
13173	13174
10842	10842
10842	10843
10842	13219
10843	10842
10843	10843
10843	13219
9624	9624
9624	10624
9624	13221
9624	13222
10624	9624
10624	10624
10624	13221
10624	13222
13221	9624
13221	10624
13221	13221
13221	13222
12535	12535
12535	10941
1908	1908
1908	13239
1908	11787
1908	12370
1908	11718
1908	13240
1908	13241
1908	13242
13239	1908
13239	13239
13239	11787
13239	12370
13239	11718
13239	13240
13239	13241
13239	13242
11787	1908
